MDCODIGO,MDNOME
90124685,ALENIA 12MCG+400MCG PÓ INAL. C/INALADOR (CAP)                                   
90124707,ALENIA 6MCG+100MCG PÓ INAL. C/INALADOR (CAP)                                    
90268407,ALENIA 6MCG+200MCG PÓ INAL. C/INALADOR (CAP)                                    
90029836,ALFAEPOETINA HUMANA RECOMB 10.000UI/ML AMP 1 ML (AMP)                           
90030028,"ALFAEPOETINA HUMANA RECOMB. 1.000UI/0,5ML SER. PREENCH. X 0,5 ML (UND)          "
90029950,ALFAEPOETINA HUMANA RECOMB. 1.000UI/ML AMP. 1 ML (AMP)                          
90030206,"ALFAEPOETINA HUMANA RECOMB. 2.000UI/0,5ML SER. PREENCH. 0,5 ML (UND)            "
90030010,ALFAEPOETINA HUMANA RECOMB. 2.000UI/ML AMP. 1 ML (AMP)                          
90029844,"ALFAEPOETINA HUMANA RECOMB. 3.000UI/0,3ML SER. PREENCH. 0,3 ML (UND)            "
90030117,ALFAEPOETINA HUMANA RECOMB. 3.000UI/ML AMP 1 ML (AMP)                           
90029852,"ALFAEPOETINA HUMANA RECOMB. 4.000UI/0,4ML SER. PREENCH. 0,4ML (UND)             "
90030214,ALFAEPOETINA HUMANA RECOMB. 4.000UI/ML SER. PREENCH. 1 ML (UND)                 
90030141,ALFAEPOETINA HUMANA RECOMB. 40.000UI/ML SER. PREENCH. 1 ML (UND)                
90126980,ALFAINTERFERONA 10.000.000UI ML PÓ LIOF. INJ.+DIL / (UND)                       
90126998,ALFAINTERFERONA 3.000.000 UI PO LIOF. INJ.+ DIL / (UND)                         
90127005,ALFAINTERFERONA 5.000.000UI ML PÓ LIOF. INJ.+DIL. / (UND)                       
90044924,"ALFAST 0,544MG/ML SOL. INJ. 5ML (AMP)                                           "
90159373,ALGINAC / (CP)                                                                  
90159411,ALGINAC SOL. INJ. (AMP)                                                         
90044940,ALIMAX 10.000UI/ML SOL. TOP SPRAY INC. NEB. 50ML (ML)                           
90051106,ALIMTA 100 MG PO LIOF. INJ. 10ML (UND)                                          
90051114,ALIMTA 500MG PÓ LIOF. INJ. 50ML (UND)                                           
90253604,ALIVIUM 100MG/ML SUSP. ORAL FR. 20ML (GTS)                                      
90227867,ALIVIUM 400 MG (CPR)                                                            
90253574,ALIVIUM 50MG/ML SUSP. ORAL FR. 30ML (GTS)                                       
90227883,ALIVIUM 600 MG (CPR)                                                            
90087968,ALKERAN 2MG / (CP)                                                              
90087976,ALKERAN 50MG PÓ LIOF. INJ.+DIL. 10ML (UND)                                      
90193458,ALLEGRA 120MG (CPR)                                                             
90193474,ALLEGRA 180MG (CPR)                                                             
90193539,ALLEGRA 30MG (CPR)                                                              
90193504,ALLEGRA 60MG (CPR)                                                              
90193547,ALLEGRA 900MG (6MG/ML) SUSP. ORAL 150ML+DOS. (ML)                               
90193520,ALLEGRA D 60 MG + 120 MG (CPR)                                                  
90008847,ALOIS 10MG (CPR)                                                                
90177916,ALOPURINOL 100 MG (CPR)                                                         
90189701,ALOPURINOL 300 MG (CPR)                                                         
90006267,"ALPHAGAN 0,2% SOL. OFT. 10ML (GTS)                                              "
90006283,"ALPHAGAN-P 0,15% SOL. OFT. 5ML (GTS)                                            "
90052080,"ALPRAZOLAM 0,25 MG (CPR)                                                        "
90052102,"ALPRAZOLAM 0,5 MG (CPR)                                                         "
90052129,ALPRAZOLAM 1 MG (CPR)                                                           
90052145,ALPRAZOLAM 2 MG (CPR)                                                           
90173872,ALVESCO 160MCG/DOSE SOL. INAL. (DOSE)                                           
90173856,ALVESCO 80MCG/DOSE SOL. INAL. (DOSE)                                            
90193563,AMARYL 1MG (CPR)                                                                
90193571,AMARYL 2MG (CPR)                                                                
90193628,AMARYL 4MG (CPR)                                                                
90211421,AMBISOME 50 MG PÓ LIOF. INJ. (UND)                                              
95248323,AMICALIN 100MG (50 MG/ML) SOL INJ 2ML / (AMP)                                   
90249313,AMICILON 250MG (125MG/ML) 2ML / (AMP)                                           
90094352,AMINOFILIN 24 MG/ML SOL. INJ. AMP. 10 ML. (AMP)                                 
90169301,"AMINOFILINA 0,1 MG (CPR)                                                        "
90169310,"AMINOFILINA 0,2MG (CPR)                                                         "
90135245,AMINOFILINA 100 MG (CPR)                                                        
90135253,AMINOFILINA 200 MG (CPR)                                                        
90074874,AMINOSTERIL 10% SOL. INJ.500ML (UND)                                            
90066006,AMOXICILINA + CLAVUL. DE POT. 1G+200MG PÓ LIOF. INJ. (UND)                      
90052234,"AMOXICILINA + CLAVUL. DE POT. 25MG/ML+6,25MG/ML FR. 75 ML (UND)                 "
90013425,AMOXICILINA + CLAVUL. DE POT. 500MG+100MG FR. 10ML (UND)                        
90052196,AMOXICILINA + CLAVUL. DE POT. 500MG+125MG (CPR)                                 
90052242,"AMOXICILINA + CLAVUL. DE POT. 50MG/ML+12,5MG/ML FR. 75 ML (UND)                 "
90052226,AMOXICILINA + CLAVUL. DE POT. 875MG+125MG (CPR)                                 
90066090,AMOXICILINA 125MG/5ML PO SUSP. ORAL 150ML (UND)                                 
90151283,AMOXICILINA 200MG/5ML PO SUSP. ORAL 100ML (UND)                                 
90151291,AMOXICILINA 250MG/5ML PO SUSP. ORAL 150ML (UND)                                 
90066081,AMOXICILINA 400MG/5ML PO SUSP. ORAL FR. 100 ML (UND)                            
90151330,AMOXICILINA 500MG (CPR)                                                         
90151313,AMOXICILINA 500MG/5ML PO SUSP. ORAL FR. 150 ML (UND)                            
90052323,AMOXICILINA 875 MG (CPR)                                                        
90052188,AMOXICILINA+CLAVULANATO DE POTÁSSIO 500MG+125MG / (CP)                          
90088018,AMOXIL 125MG/5ML PO PREP. 150ML (UND)                                           
90088026,AMOXIL 250MG/5ML PO SUSP. ORAL 150ML (UND)                                      
90088034,AMOXIL 500MG (CAP)                                                              
90088069,AMOXIL 500MG/5ML PO PREP. 150ML (UND)                                           
90088077,AMOXIL BD 200MG/5ML PO PREP. 100ML (UND)                                        
90088085,AMOXIL BD 400MG/5ML PO PREP. 100ML (UND)                                        
90088093,AMOXIL BD 875MG (CPR)                                                           
90214692,AMPHOCIL 100 MG PÓ LIOF. INJ. (UND)                                             
90214706,AMPHOCIL 50 MG PÓ LIOF. INJ. (UND)                                              
90071069,"AMPICILINA + SULBACTAM 1,5G (1G+0,5G) PÓ SOL. INJ.+DIL. 3,2ML (UND)             "
90071077,"AMPICILINA + SULBACTAM 3G (2G+1G) PÓ SOL. INJ.+DIL. 6,4ML (UND)                 "
90115953,AMPICILINA 250MG/5ML PO SUSP. ORAL 150ML (UND)                                  
90066120,AMPICILINA 500MG (CAP)                                                          
90135326,AMPICILINA SODICA 1G PO SOL. INJ. +DIL. 3ML (UND)                               
90135334,AMPICILINA SODICA 500MG PO SOL. INJ. +DIL 2ML (UND)                             
90066154,AMPLACILINA 1 G PÓ LIOF. INJ. + DIL. 3ML (UND)                                  
90066170,AMPLACILINA 500MG (CAP)                                                         
90066162,AMPLACILINA 50MG/ML PÓ SUSP. ORAL 60ML (UND)                                    
90193750,AMPLICTIL 100MG (CPR)                                                           
90193784,AMPLICTIL 25MG (5MG/ML) SOL. INJ. 5ML (AMP)                                     
90193768,AMPLICTIL 25MG (CPR)                                                            
90193776,AMPLICTIL 40MG/ML SOL. ORAL. 20ML (GTS)                                         
90169336,ANAFRANIL 10MG (DRG)                                                            
90169344,ANAFRANIL 25MG (DRG)                                                            
90169352,ANAFRANIL 75MG LIBERACAO PROLONGADA (CPR)                                       
90129873,ANASTROL 1MG (CPR)                                                              
90066243,ANATEN 5MG+25MG (CAP)                                                           
90066251,ANATEN 5MG+50MG (CAP)                                                           
90143825,ANCORON 200MG/ML SUSP. ORAL 30ML (GTS)                                          
90143841,ANCORON 50MG/ML SOL. INJ. 3ML (AMP)                                             
90002865,"ANDANTOL 7,5 MG/G GELÉIA BISN 40 G (GRA)                                        "
90221800,ANDOLBA SOL. TÓP. AEROSSOL 43G (GRA)                                            
90206665,ANDRIODERMOL PÓ TUBO 50 G (GRA)                                                 
90206673,ANDRIODERMOL SOL. TOP. 50ML (ML)                                                
90200195,ANDROCUR 100MG (CPR)                                                            
90200209,ANDROCUR 50MG (CPR)                                                             
90200730,ANDROXON 40MG (CAP)                                                             
90005767,ANESTALCON 5MG/ML SOL. OFT. 5ML (GTS)                                           
90006313,ANESTÉSICO SOL. OFT. FR. 10 ML (GTS)                                            
90045050,ANFORICIN B 50MG PO LIOF. + DIL. 10ML (UND)                                     
94938660,ANGIOGRAFIA RADIOISOTOPIACA (UND)                                               
90124936,ANGIPRESS CD 100MG+25MG (CPR)                                                   
90124944,"ANGIPRESS CD 25MG+12,5MG (CPR)                                                  "
90124952,"ANGIPRESS CD 50MG+12,5MG (CPR)                                                  "
90073851,ANNITA 500 MG (CRP)                                                             
90143876,ANSITEC 10MG (CPR)                                                              
90143884,ANSITEC 5MG (CPR)                                                               
90088174,ANTAK 1.8G (15MG/ML) XPE. 120ML (ML)                                            
90088123,ANTAK 150MG (CPR)                                                               
90088166,ANTAK 25MG/ML SOL. INJ. 2ML (AMP)                                               
90088140,ANTAK 300MG (CPR)                                                               
90002881,ANTUX 600MG (30MG/ML) SOL. ORAL. 20ML (GTS)                                     
90002890,ANTUX 720MG (6MG/ML) XAROPE 120ML (ML)                                          
90193814,ANZEMET IV 100MG SOL. INJ. 5 ML (AMP)                                           
90169360,APRESOLINA 25MG (DRG)                                                           
90169379,APRESOLINA 50MG (DRG)                                                           
90193873,APROVEL 150MG (CPR)                                                             
90193903,APROVEL 300MG (CPR)                                                             
90193954,"APROZIDE 150 MG + 12,5 MG (CPR)                                                 "
90193989,"APROZIDE 300MG+12,5MG (CPR)                                                     "
94288410,"AQUABEN 27,9G NATURAL / (UND)                                                   "
90130545,ARACYTIN CS 500MG (20MG/ML). SOL. INJ. 25ML (UND)                               
90130537,ARACYTIN CS PÓ LIOF. INJ.+DIL (MG)                                              
90130529,ARACYTIN CSSOL. INJ.(MG)                                                        
90045068,ARAMIN 10MG SOL. INJ. 1 ML (AMP)                                                
90194071,ARAVA 10 MG (CPR)                                                               
90194063,ARAVA 100MG (CPR)                                                               
90194080,ARAVA 20MG (CPR)                                                                
90162331,ARCOXIA 60 MG (CPR)                                                             
90162358,ARCOXIA 90 MG (CPR)                                                             
90194098,ARELIX 6MG (CPR)                                                                
90006321,ARGIROL 10% SOL. OFT. 5 ML (GTS)                                                
90248830,ARICILINA 5.000.000UI PÓ INJ. (UND)                                             
90249275,ARIFENICOL 1000MG PÓ LIOF. (UND)                                                
90015363,ARIMIDEX 1MG (CPR)                                                              
90088212,"ARIXTRA 2,5MG SOL INJ SER. PREENC 0,5ML (UND)                                   "
90130553,AROMASIN 25MG / (CP)                                                            
90020936,AROVIT 150.000UI/ML SOL. ORAL 20ML (GTS)                                        
90020944,AROVIT 300.000UI AMP 1 ML (AMP)                                                 
90020952,AROVIT 50.000UI (DRG)                                                           
90008871,ARTANE 5MG (CPR)                                                                
90204964,ARTRODAR 50MG (CAP)                                                             
90002903,ARTROLIVE 500MG+400MG (CAP)                                                     
90002920,ARTROSIL 160MG (CAP)                                                            
90002946,ARTROSIL 320MG (CAP)                                                            
90159454,ASALIT 400MG (CPR)                                                              
90159446,ASALIT ENEMA 3G PÓ ENV+DIL 100ML (UND)                                          
90159438,ASALIT SUPOSITORIO 250MG (SUP)                                                  
90105605,ASCARIDIL ADULTO 150 MG (CPR)                                                   
90105613,ASCARIDIL INFANTIL 80 MG (CPR)                                                  
90246730,ASPIRINA PREVENT 100MG (CPR)                                                    
90246748,ASPIRINA PREVENT 300MG (CPR)                                                    
94212228,ASSEPTICARE 1 MG/ML CLOREXIDINA SOL. TOP. / NEO QUIMICA (ML)                    
90015371,ATACAND 16MG (CPR)                                                              
90015428,ATACAND 8MG (CPR)                                                               
90015487,"ATACAND HCT 16MG+12,5MG (CPR)                                                   "
90015509,"ATACAND HCT 8MG+12,5MG (CPR)                                                    "
90015525,ATENOL 100MG (CPR)                                                              
90015533,ATENOL 25MG (CPR)                                                               
90015541,ATENOL 50MG (CPR)                                                               
90081625,ATENOLOL + CLORTALIDONA 100MG+25MG (CPR)                                        
90081633,"ATENOLOL + CLORTALIDONA 50MG+12,5MG (CPR)                                       "
90081641,ATENOLOL 100MG (CPR)                                                            
90151526,ATENOLOL 25MG (CPR)                                                             
90151534,ATENOLOL 50MG (CPR)                                                             
90032616,ATENSINA 100MCG (CPR)                                                           
90032608,ATENSINA 150MCG (CPR)                                                           
90032624,ATENSINA 200MCG (CPR)                                                           
90217675,ATLANSIL 100MG (CPR)                                                            
90217683,ATLANSIL 150MG SOL. INJ. 3 ML (AMP)                                             
90217705,ATLANSIL 200MG (CPR)                                                            
90006330,"ATROPINA 0,5% (5 MG/ML) SOL. OFT. 5ML (GTS)                                     "
90006348,ATROPINA 1% (10 MG/ML) SOL. OFT. 5ML (GTS)                                      
90248902,"ATROPION 0,25MG SOL. INJ. 1ML (AMP)                                             "
90248910,"ATROPION 0,5 MG SOL. INJ. 1ML (AMP)                                             "
90032632,"ATROVENT 5MG (0,25MG/ML) SOL. INAL. 20ML (GTS)                                  "
90184084,AURORIX 150MG (CPR)                                                             
90184092,AURORIX 300MG (CPR)                                                             
90246772,"AVALOX 400MG (1,6MG/ML) SOL. INJ. BLS PLAST. 250ML (UND)                        "
90246764,AVALOX 400MG (CPR)                                                              
90184114,AVASTIN 100MG (25MG/ML) SOL. INJ. IV 4ML (UND)                                  
90184106,AVASTIN 400MG (25MG/ML) SOL. INJ. IV 16ML (UND)                                 
90088344,"AVODART 0,5 MG (CAP)                                                            "
90024931,"AVONEX 60MCG/ML SER. PREENCH. 0,5ML+AG. (UND)                                   "
90186214,AXETIL CEFUROXIMA 250MG (CPR)                                                   
90167996,AXETIL CEFUROXIMA 250MG/5ML PÓ SUSP. ORAL FR. 50ML (UND)                        
90186206,AXETIL CEFUROXIMA 250MG/5ML PÓ SUSP. ORAL FR. 50ML (UND)                        
90186222,AXETIL CEFUROXIMA 500MG (CPR)                                                   
90073894,AXID 150MG (CAP)                                                                
95386580,AZACTAM 1G PÓ INJ.+DIL. 3ML (UND)                                               
90060857,AZI 1000 MG (CPR)                                                               
90081749,AZITROMICINA 1 G (CPR)                                                          
90052706,AZITROMICINA 500 MG (CPR)                                                       
90052722,AZITROMICINA 600MG (40MG/ML) FR. 15ML+DIL. 9ML+SER. (UND)                       
90052730,"AZITROMICINA 900MG (40MG/ML) FR. 22,5ML+DIL 12ML+SER (UND)                      "
90005775,AZOPT 1% SUSP. OFT. FR. 5 ML (GTS)                                              
90068963,"AZTREONAM 0,5G PÓ SOL. INJ.+DIL. 3ML (UND)                                      "
90068971,AZTREONAM 1G PÓ SOL. INJ.+DIL.3ML (UND)                                         
90093259,AZUL PATENTE 25MG/ML SOL. INJ. 2ML (AMP)                                        
90254198,AZULFIN 500MG (CPR)                                                             
90206754,"BABYDRAX PÓ ORAL ENV. 27,9 G (UND)                                              "
90228740,BAC-SULFITRIN 80MG/ML+16MG/ML SOL. INJ. 5ML (AMP)                               
90184122,BACTRIM 200MG/5ML+40MG/5ML SUSP. ORAL 100ML (ML)                                
90184130,BACTRIM 400MG+80MG (CPR)                                                        
90184149,BACTRIM F 800MG+160MG (CPR)                                                     
90184157,BACTRIM F 80MG/ML+16MG/ML SUSP. ORAL 100ML (ML)                                 
90088360,BACTROBAN 20MG/G POM. DERM. 15 G (GRA)                                          
90124006,BALCOR E.V 25MG PO LIOF.+DIL. 5ML (UND)                                         
90124014,BALCOR E.V 50MG PO LIOF.+DIL. 10ML (UND)                                        
90124022,BALCOR RETARD 120MG / (CAP)                                                     
90124049,BALCOR RETARD 300MG / (CAP)                                                     
90124057,BALCOR RETARD 90MG / (CAP)                                                      
90081757,"BALSAMO BENGUE 0,1G/G+0,15G/G GEL DERM. BISN. 20G (GRA)                         "
90081765,"BALSAMO BENGUE 0,25G/G+0,25G/G POM. DERM. 20G (GRA)                             "
90015550,BAMBEC 1 MG/ML SOL. ORAL FR. 100ML (ML)                                         
90039491,BAMIFIX 300 MG (DRG)                                                            
90039505,BAMIFIX 600MG (DRG)                                                             
90034961,"BARACLUDE  0,5 MG (CPR)                                                         "
90034970,BARACLUDE 1 MG (CPR)                                                            
90220544,BARIOGEL SUSP. ORAL COPO 150ML (ML)                                             
95386637,BAYCUTEN N 1% CREME DERM. 40G (GRA)                                             
90034988,"BECENUN 100MG (33,33MG/ML) PÓ LIOF. INJ.+DIL 3ML (UND)                          "
90088387,BECLOSOL 50MCG/DOSE SPRAY (DOSE)                                                
94132542,BENEROC (DRG)                                                                   
94132550,BENEROC COMPLEX (DRG)                                                           
94132569,BENEROC JUNIOR SOL. ORAL 20ML (GTS)                                             
90020979,BENERVA 300MG (CPR)                                                             
90003020,BENFLOGIN 30MG/ML SOL. ORAL. FR. 20 ML (GTS)                                    
90003047,BENFLOGIN 50MG (DRG)                                                            
90049233,BENICAR 20MG (CPR)                                                              
90049250,BENICAR 40MG (CPR)                                                              
90049403,"BENICAR HCT 20MG+12,5MG (CPR)                                                   "
90049411,"BENICAR HCT 40MG+12,5MG (CPR)                                                   "
90049438,BENICAR HCT 40MG+25MG (CPR)                                                     
90049314,BENICARANLO 20MG+5MG (CPR)                                                      
90049349,BENICARANLO 40MG+10MG (CPR)                                                     
90049373,BENICARANLO 40MG+5MG (CPR)                                                      
90151852,BENTYL 20MG/ML SOL. ORAL FR. 15 ML (GTS)                                        
90010418,BENZATRON 1.200.000UI PÓ INJ. (UND)                                             
90010434,BENZATRON 600.000UI PÓ INJ. (UND)                                               
90066618,BENZETACIL 1.200.000UI (300.000UI/ML) SUSP. INJ. 4 ML (UND)                     
90066600,BENZETACIL 600.000UI (150.000UI/ML) SUSP. INJ. 4 ML (UND)                       
90066626,BENZILPENICILINA POTÁSSICA 5.000.000UI PÓ SOL. INJ. (UND)                       
90025520,"BENZITRAT 1,5MG/ML COLUTÓRIO 150ML (ML)                                         "
90116208,BENZOAX 250MG/ML EMULSÃO TÓP. FR. 100ML (ML)                                    
90052765,BENZOILMETRONIDAZOL 4% (40MG/ML) SUSP. ORAL FR. 120ML (ML)                      
90151860,BENZOILMETRONIDAZOL+NISTAT.+CLOR. BENZALCONIO CREME VAG 40G (UND)               
95052011,BEPANTOL 5% (50MG/G) SOL. TÓP. FR. 50ML (ML)                                    
90048849,"BERIPLAST-P 0,5ML PÓ LIÓF. + DIL 0,5ML (UND)                                    "
90048857,BERIPLAST-P 1ML PÓ LIÓF. + DIL. 1ML (UND)                                       
90048865,BERIPLAST-P 3ML PÓ LIÓF. + DIL. 3ML (UND)                                       
90048873,BERIPLEX P/N 250UI PÓ LIOF. INJ.+DIL. 10ML+DISP. TRANSF. (UND)                  
90048881,BERIPLEX P/N 500UI PÓ LIOF. INJ.+DIL. 20ML+DISP. TRANSF. (UND)                  
95388060,BERLISON 1% (10 MG/G) POM. DERM. BISN. 30G (GRA)                                
90032675,"BEROTEC 0,25MG/ML XPE. PED. FR. 120 ML (ML)                                     "
90032683,"BEROTEC 0,5MG/ML XAROPE. ADULTO 120ML (ML)                                      "
90032721,BEROTEC 5MG/ML SOL. ORAL 20ML (GTS)                                             
